name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J1241,,60944.95075,mjd,,X,9.998490782,GHz,0.1906981159,0.01594759241,mJy,FALSE,noah Franz,25B-242,FALSE,
SDSS_J1241,,60944.95144,mjd,,C2,6.998643614,GHz,0.2289730287,0.01941819186,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95075,mjd,,X2,10.99843984,GHz,0.1296079105,0.02261447837,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95144,mjd,,C,5.998694551,GHz,0.3258307675,0.01616820793,mJy,FALSE,noah Franz,25B-242,FALSE,
SDSS_J1241,,60944.95214,mjd,,L2,1.775409623,GHz,1.359837328,0.0627908511,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95214,mjd,,L1,1.263435687,GHz,1.38708657,0.2002738135,mJy,FALSE,noah Franz,25B-242,TRUE,
SDSS_J1241,,60944.95283,mjd,,S,2.998847334,GHz,0.7966437021,0.03070378616,mJy,FALSE,noah Franz,25B-242,FALSE,
SDSS_J1241,,60972.03786,mjd,,band5,1.260678735,GHz,1.49718455,0.12195211,mJy,FALSE,noah franz,49_043,TRUE,
SDSS_J1241,,60986.12225,mjd,,band4,0.649549698,GHz,1.65799646,0.07266858,mJy,FALSE,noah franz,49_043,TRUE,
SDSS_J1241,,60972.21166,mjd,,band3,0.4003584074,GHz,0.98887039,0.19032913,mJy,FALSE,noah franz,49_043,TRUE,
2019qiz,1995-03-18,49794,mjd,,L,1.4,GHz,1.10399565892294,0,mJy,TRUE,NF,NVSS,True,
SDSS_J0748,1995-03-18,49794,mjd,,L,1.4,GHz,0.840919412439689,0,mJy,TRUE,NF,NVSS,True,
SDSS_J0807,1995-03-18,49794,mjd,,L,1.4,GHz,1.83018384268507,0,mJy,TRUE,NF,NVSS,True,
SDSS_J0938,1995-03-18,49794,mjd,,L,1.4,GHz,1.66158657521009,0,mJy,TRUE,NF,NVSS,True,
SDSS_J0952,1995-03-18,49794,mjd,,L,1.4,GHz,1.24068223522045,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1055,1995-03-18,49794,mjd,,L,1.4,GHz,1.05606226134114,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1207,1995-03-18,49794,mjd,,L,1.4,GHz,1.32148928241804,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1241,1995-03-18,49794,mjd,,L,1.4,GHz,0.887892994796857,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1247,1995-03-18,49794,mjd,,L,1.4,GHz,1.93482160102576,0,mJy,TRUE,NF,NVSS,True,
